EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
X400x537A-2m1,2018,Pollen,400,,-1,FALSE,537,A,2,m1,R83B01,,180,209,389,46.27249357,0,0,0.99,0.985,0.988,183,212,4,395,46.32911392,-3,3,-3,3,-6,6,-0.056620351,0.056620351,0.998777867,-0.016528926,-0.014251781,-0.015306122
X400x537A-2m2,2018,Pollen,400,,-1,FALSE,537,A,2,m2,R83B01,,109,120,229,47.59825328,1,0.435,0.972,0.982,0.977,114,123,3,237,48.10126582,-5,5,-3,3,-8,8,-0.503012548,0.503012548,0.989542634,-0.044843049,-0.024691358,-0.034334764
X400x537A-2m3,2018,Pollen,400,,-1,FALSE,537,A,2,m3,R83B01,,50,61,111,45.04504505,0,0,0.957,0.953,0.955,,,,,,,,,,,,,,,,,
X400x537A-2m5,2018,Pollen,400,,-1,FALSE,537,A,2,m5,R83B01,,40,52,92,43.47826087,1,1.075,0.973,0.886,0.924,,,,,,,,,,,,,,,,,
X400x537A-2m8,2018,Pollen,400,,-1,FALSE,537,A,2,m8,R83B01,,110,161,271,40.5904059,12,4.24,0.906,0.93,0.92,,,,,,,,,,,,,,,,,
X400x539-3m1,2018,Pollen,400,,-1,FALSE,539,,3,m1,R83B01,,139,190,329,42.24924012,0,0,0.989,0.983,0.986,138,193,0,331,41.6918429,1,1,-3,3,-2,2,0.557397221,0.557397221,1.013369455,0.007220217,-0.015665796,-0.006060606
X400x539-4m1,2018,Pollen,400,,-1,FALSE,539,,4,m1,R83B01,,122,156,278,43.88489209,1,0.358,0.982,0.975,0.979,120,160,0,280,42.85714286,2,2,-4,4,-2,2,1.027749229,1.027749229,1.023980815,0.016528926,-0.025316456,-0.007168459
X400x539-4m3,2018,Pollen,400,,-1,FALSE,539,,4,m3,R83B01,,62,82,144,43.05555556,1,0.69,0.953,0.923,0.936,60,69,0,129,46.51162791,2,2,13,13,15,15,-3.456072351,3.456072351,0.925694444,0.032786885,0.17218543,0.10989011
X400x539-4m5,2018,Pollen,400,,-1,FALSE,539,,4,m5,R83B01,,134,175,309,43.36569579,1,0.323,0.987,0.985,0.986,137,175,1,312,43.91025641,-3,3,0,0,-3,3,-0.544560617,0.544560617,0.987598328,-0.022140221,0,-0.009661836
X400x539-4m6,2018,Pollen,400,,-1,FALSE,539,,4,m6,R83B01,TRUE,141,218,359,39.27576602,0,0,0.987,0.987,0.987,141,220,1,361,39.05817175,0,0,-2,2,-2,2,0.217594272,0.217594272,1.005571031,0,-0.00913242,-0.005555556
X400x552AL-11m1,2018,Pollen,400,,-1,FALSE,552,A,11,m1,R71A11,,1,28,29,3.448275862,0,0,0.992,0.995,0.995,,,,,,,,,,,,,,,,,
