EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
Y1x284B-1,2019,Pollen,1,,-1,FALSE,284,B,1,,R84A12,,89,137,226,39.38053097,27,10.672,0.847,0.915,0.887,82,170,2,252,32.53968254,7,7,-33,33,-26,26,6.840848434,6.840848434,1.210230952,0.081871345,-0.214983713,-0.108786611
Y1x284B-2,2019,Pollen,1,,-1,FALSE,284,B,2,,R84A12,,83,147,230,36.08695652,1,0.433,0.979,0.966,0.971,,,,,,,,,,,,,,,,,
Y1x284B-3,2019,Pollen,1,,-1,FALSE,284,B,3,,R84A12,,47,109,156,30.12820513,1,0.637,0.9,0.958,0.94,,,,,,,,,,,,,,,,,
Y1x285A-3m1,2019,Pollen,1,,-1,FALSE,285,A,3,m1,R84A12,,83,261,344,24.12790698,7,1.994,0.947,0.972,0.965,77,275,3,352,21.875,6,6,-14,14,-8,8,2.252906977,2.252906977,1.102990033,0.075,-0.052238806,-0.022988506
Y1x285A-3m2,2019,Pollen,1,,-1,FALSE,285,A,3,m2,R84A12,,75,241,316,23.73417722,3,0.94,0.956,0.982,0.975,,,,,,,,,,,,,,,,,
Y1x285A-3m3,2019,Pollen,1,,-1,FALSE,285,A,3,m3,R84A12,,12,51,63,19.04761905,2,3.077,0.932,0.936,0.935,12,46,1,58,20.68965517,0,0,5,5,5,5,-1.642036125,1.642036125,0.920634921,0,0.103092784,0.082644628
Y1x285A-3m4,2019,Pollen,1,,-1,FALSE,285,A,3,m4,R84A12,,52,148,200,26,4,1.961,0.937,0.964,0.957,48,143,0,191,25.13089005,4,4,5,5,9,9,0.869109948,0.869109948,1.034583333,0.08,0.034364261,0.046035806
Y1x285A-4,2019,Pollen,1,,-1,FALSE,285,A,4,,R84A12,,71,198,269,26.39405204,9,3.237,0.906,0.929,0.923,67,167,3,234,28.63247863,4,4,31,31,35,35,-2.238426588,2.238426588,0.921822116,0.057971014,0.169863014,0.13916501
Y1x285B-1,2019,Pollen,1,,-1,FALSE,285,B,1,,R84A12,,0,429,429,0,6,1.379,0.3,0.974,0.965,,,,,,,,,,,,,,,,,
Y1x285B-2,2019,Pollen,1,,-1,FALSE,285,B,2,,R84A12,,2,399,401,0.498753117,8,1.956,0.484,0.958,0.946,,,,,,,,,,,,,,,,,
Y1x285B-3,2019,Pollen,1,,-1,FALSE,285,B,3,,R84A12,,2,425,427,0.468384075,13,2.955,0.448,0.966,0.948,,,,,,,,,,,,,,,,,
Y1x285B-5,2019,Pollen,1,,-1,FALSE,285,B,5,,R84A12,,3,417,420,0.714285714,15,3.448,0.442,0.962,0.941,,,,,,,,,,,,,,,,,
Y1x289A-2m1,2019,Pollen,1,,-1,FALSE,289,A,2,m1,R82A03,,109,240,349,31.23209169,3,0.852,0.969,0.978,0.975,,,,,,,,,,,,,,,,,
Y1x289A-2m2,2019,Pollen,1,,-1,FALSE,289,A,2,m2,R82A03,,152,202,354,42.93785311,4,1.117,0.975,0.978,0.977,,,,,,,,,,,,,,,,,
Y1x289A-5,2019,Pollen,1,,-1,FALSE,289,A,5,,R82A03,,136,253,389,34.96143959,1,0.256,0.982,0.984,0.983,,,,,,,,,,,,,,,,,
Y1x289A-6,2019,Pollen,1,,-1,FALSE,289,A,6,,R82A03,,237,4,241,98.34024896,3,1.23,0.978,0.814,0.973,,,,,,,,,,,,,,,,,
Y1x289A-7,2019,Pollen,1,,-1,FALSE,289,A,7,,R82A03,,88,242,330,26.66666667,1,0.302,0.974,0.982,0.98,,,,,,,,,,,,,,,,,
Y1x289B-1,2019,Pollen,1,,-1,FALSE,289,B,1,,R82A03,,108,218,326,33.12883436,5,1.511,0.957,0.966,0.963,,,,,,,,,,,,,,,,,
Y1x289B-4,2019,Pollen,1,,-1,FALSE,289,B,4,,R82A03,,78,271,349,22.3495702,5,1.412,0.958,0.973,0.969,,,,,,,,,,,,,,,,,
Y1x289B-6,2019,Pollen,1,,-1,FALSE,289,B,6,,R82A03,,84,281,365,23.01369863,9,2.406,0.925,0.959,0.951,77,293,1,370,20.81081081,7,7,-12,12,-5,5,2.202887819,2.202887819,1.105853051,0.086956522,-0.041811847,-0.013605442
Y1x289C-1,2019,Pollen,1,,-1,FALSE,289,C,1,,R82A03,,4,372,376,1.063829787,20,5.051,0.465,0.937,0.91,,,,,,,,,,,,,,,,,
Y1x289C-2,2019,Pollen,1,,-1,FALSE,289,C,2,,R82A03,,9,283,292,3.082191781,19,6.109,0.597,0.93,0.901,,,,,,,,,,,,,,,,,
Y1x289C-3,2019,Pollen,1,,-1,FALSE,289,C,3,,R82A03,,19,373,392,4.846938776,52,11.712,0.537,0.903,0.85,,,,,,,,,,,,,,,,,
Y1x289C-4,2019,Pollen,1,,-1,FALSE,289,C,4,,R82A03,,12,319,331,3.625377644,34,9.315,0.52,0.92,0.874,,,,,,,,,,,,,,,,,
Y1x289C-7,2019,Pollen,1,,-1,FALSE,289,C,7,,R82A03,,98,219,317,30.9148265,1,0.314,0.976,0.965,0.968,,,,,,,,,,,,,,,,,
Y1x293A-3m1,2019,Pollen,1,,-1,FALSE,293,A,3,m1,R71A11,,15,154,169,8.875739645,2,1.17,0.861,0.96,0.951,,,,,,,,,,,,,,,,,
Y1x293A-3m3,2019,Pollen,1,,-1,FALSE,293,A,3,m3,R71A11,,1,35,36,2.777777778,0,0,0.984,0.933,0.935,,,,,,,,,,,,,,,,,
